principal,tenure_months,interest_rate,emi_amount,annual_income,employment_years,age_years,credit_score,num_credit_lines,num_delinquencies,debt_to_income,credit_history_months,credit_utilisation,is_ntc,loan_to_income,emi_to_income_monthly,prior_loan_count,prior_default_count,prior_principal_sum,employment_status,purpose,default_flag
4490000.0,24.0,0.1169,210710.0,930000.0,17.0,53.0,,,,,,,1.0,4.827956989247312,2.7188387096774194,1.0,0.0,2320000.0,self_employed,business,0
4090000.0,12.0,0.1023,360014.0,650000.0,6.0,33.0,,,,,,,1.0,6.292307692307692,6.646412307692308,0.0,0.0,0.0,salaried,personal,0
3010000.0,24.0,0.2254,156957.0,2240000.0,3.0,39.0,800.0,19.0,1.0,0.11,118.0,0.63,0.0,1.34375,0.8408410714285715,0.0,0.0,0.0,self_employed,business,0
140000.0,12.0,0.1989,12961.0,2240000.0,3.0,39.0,800.0,19.0,1.0,0.11,122.0,0.63,0.0,0.0625,0.06943392857142858,1.0,0.0,3010000.0,self_employed,home,0
3529990.0,36.0,0.1592,123965.0,2240000.0,3.0,40.0,800.0,19.0,1.0,0.11,134.0,0.63,0.0,1.5758883928571428,0.6640982142857144,2.0,0.0,3150000.0,self_employed,personal,0
2839928.0,36.0,0.1786,102471.0,2240000.0,3.0,40.0,800.0,19.0,1.0,0.11,136.0,0.63,0.0,1.267825,0.5489517857142857,3.0,0.0,6679990.0,self_employed,education,0
1420000.0,12.0,0.2302,133602.0,1428000.0,11.0,32.0,675.0,19.0,3.0,0.3,119.0,0.42,0.0,0.9943977591036415,1.1227058823529412,0.0,0.0,0.0,salaried,home,0
2770000.0,36.0,0.19,101537.0,2350000.0,10.0,52.0,535.0,15.0,4.0,0.47,113.0,0.95,0.0,1.1787234042553192,0.5184868085106382,0.0,0.0,0.0,self_employed,personal,0
1240000.0,36.0,0.2156,47074.0,2350000.0,10.0,52.0,535.0,15.0,4.0,0.47,114.0,0.95,0.0,0.5276595744680851,0.2403778723404255,1.0,0.0,2770000.0,self_employed,auto,0
290000.0,36.0,0.1011,9372.0,2640000.0,12.0,46.0,465.0,2.0,5.0,0.49,194.0,0.64,0.0,0.10984848484848485,0.0426,0.0,0.0,0.0,salaried,education,0
4290000.0,24.0,0.1361,205186.0,2640000.0,12.0,46.0,465.0,2.0,5.0,0.49,197.0,0.64,0.0,1.625,0.9326636363636364,1.0,0.0,290000.0,salaried,education,0
660000.0,36.0,0.1614,23249.0,2490000.0,18.0,43.0,,,,,,,1.0,0.26506024096385544,0.1120433734939759,0.0,0.0,0.0,self_employed,auto,0
230000.0,12.0,0.1074,20300.0,2690000.0,12.0,37.0,335.0,10.0,8.0,0.74,216.0,0.5,0.0,0.08550185873605948,0.09055762081784387,0.0,0.0,0.0,self_employed,education,1
1590000.0,36.0,0.2066,59626.0,2690000.0,12.0,38.0,335.0,10.0,8.0,0.74,227.0,0.5,0.0,0.5910780669144982,0.2659895910780669,1.0,1.0,230000.0,self_employed,business,0
2230000.0,12.0,0.1684,203217.0,1660000.0,24.0,50.0,,,,,,,1.0,1.3433734939759037,1.4690385542168674,0.0,0.0,0.0,self_employed,education,0
3310000.0,24.0,0.2142,170770.0,1660000.0,24.0,50.0,,,,,,,1.0,1.9939759036144578,1.2344819277108432,1.0,0.0,2230000.0,self_employed,business,0
2260000.0,12.0,0.2313,212754.0,1660000.0,24.0,52.0,,,,,,,1.0,1.3614457831325302,1.537980722891566,2.0,0.0,5540000.0,self_employed,personal,0
4230000.0,12.0,0.2314,398229.0,1640000.0,28.0,38.0,365.0,16.0,8.0,0.66,-13.0,0.21,0.0,2.5792682926829267,2.913870731707317,0.0,0.0,0.0,salaried,education,0
3760000.0,12.0,0.1226,334529.0,1640000.0,28.0,38.0,365.0,16.0,8.0,0.66,-6.0,0.21,0.0,2.292682926829268,2.4477731707317076,1.0,0.0,4230000.0,salaried,personal,0
1920000.0,24.0,0.1148,89916.0,1640000.0,28.0,38.0,365.0,16.0,8.0,0.66,-6.0,0.21,0.0,1.170731707317073,0.6579219512195122,2.0,0.0,7990000.0,salaried,auto,0
1900000.0,36.0,0.1414,65067.0,1640000.0,28.0,39.0,365.0,16.0,8.0,0.66,4.0,0.21,0.0,1.1585365853658536,0.4761,3.0,0.0,9910000.0,salaried,home,1
410000.0,12.0,0.171,37413.0,1310000.0,19.0,42.0,335.0,17.0,8.0,0.7,14.0,0.67,0.0,0.31297709923664124,0.34271450381679386,0.0,0.0,0.0,salaried,auto,0
1600000.0,36.0,0.1217,53273.0,870000.0,0.0,26.0,740.0,18.0,2.0,0.2,208.0,0.36,0.0,1.839080459770115,0.7348,0.0,0.0,0.0,self_employed,education,0
180000.0,36.0,0.1106,5898.0,870000.0,0.0,26.0,740.0,18.0,2.0,0.2,210.0,0.36,0.0,0.20689655172413793,0.08135172413793103,1.0,0.0,1600000.0,self_employed,business,0
1630000.0,24.0,0.1743,80928.0,2780000.0,2.0,29.0,765.0,6.0,2.0,0.16,205.0,0.39,0.0,0.5863309352517986,0.3493294964028777,0.0,0.0,0.0,salaried,home,0
14276000000.0,12.0,0.1046,1258143496.0,1140000.0,17.0,37.0,335.0,13.0,9.0,0.77,201.0,0.37,0.0,12522.807017543859,13243.615747368422,0.0,0.0,0.0,self_employed,business,0
1799938.0,24.0,0.2248,93805.0,1140000.0,17.0,37.0,335.0,13.0,9.0,0.77,202.0,0.37,0.0,1.5788929824561404,0.987421052631579,1.0,0.0,14276000000.0,self_employed,education,0
3410000.0,36.0,0.1311,115077.0,1140000.0,17.0,38.0,335.0,13.0,9.0,0.77,207.0,0.37,0.0,2.991228070175439,1.2113368421052633,2.0,0.0,14277799938.0,self_employed,personal,0
1920000.0,24.0,0.1748,95373.0,1140000.0,17.0,38.0,335.0,13.0,9.0,0.77,207.0,0.37,0.0,1.6842105263157894,1.0039263157894738,3.0,0.0,14281209938.0,self_employed,education,0
2230000.0,24.0,0.199,113389.0,1140000.0,17.0,38.0,335.0,13.0,9.0,0.77,216.0,0.37,0.0,1.956140350877193,1.1935684210526316,4.0,0.0,14283129938.0,self_employed,auto,0
4190000.0,36.0,0.1524,145741.0,1606500.0,5.0,33.0,740.0,5.0,3.0,0.19,76.0,0.88,0.0,2.6081543728602554,1.0886349206349206,0.0,0.0,0.0,self_employed,education,0
2580000.0,12.0,0.1384,231457.0,527000.0,6.0,53.0,490.0,2.0,6.0,0.48,-2.0,0.69,0.0,4.895635673624288,5.270368121442125,0.0,0.0,0.0,self_employed,auto,0
530000.0,36.0,0.1969,19613.0,527000.0,6.0,53.0,490.0,2.0,6.0,0.48,0.0,0.69,0.0,1.0056925996204933,0.446595825426945,1.0,0.0,2580000.0,self_employed,home,0
4919991.0,36.0,0.1065,160260.0,527000.0,6.0,54.0,490.0,2.0,6.0,0.48,0.0,0.69,0.0,9.335846299810246,3.649184060721063,2.0,0.0,3110000.0,self_employed,home,0
3580000.0,36.0,0.2124,135318.0,600000.0,22.0,52.0,,,,,,,1.0,5.966666666666667,2.70636,0.0,0.0,0.0,salaried,home,0
1150000.0,12.0,0.2082,106982.0,600000.0,22.0,52.0,,,,,,,1.0,1.9166666666666667,2.13964,1.0,0.0,3580000.0,salaried,education,0
2450000.0,24.0,0.1013,113202.0,600000.0,22.0,53.0,,,,,,,1.0,4.083333333333333,2.26404,2.0,0.0,4730000.0,salaried,home,0
2350000.0,12.0,0.1291,209796.0,2780000.0,21.0,37.0,415.0,15.0,5.0,0.61,56.0,0.21,0.0,0.8453237410071942,0.9055942446043166,0.0,0.0,0.0,salaried,business,0
2180000.0,36.0,0.1705,77777.0,2780000.0,21.0,37.0,415.0,15.0,5.0,0.61,58.0,0.21,0.0,0.7841726618705036,0.33572805755395685,1.0,0.0,2350000.0,salaried,education,0
840000.0,24.0,0.1198,39534.0,2780000.0,21.0,37.0,415.0,15.0,5.0,0.61,58.0,0.21,0.0,0.302158273381295,0.17065035971223022,2.0,0.0,4530000.0,salaried,education,0
4410000.0,24.0,0.1516,214162.0,570000.0,27.0,54.0,540.0,5.0,6.0,0.43,154.0,0.8,0.0,7.7368421052631575,4.508673684210526,0.0,0.0,0.0,salaried,auto,0
4020000.0,36.0,0.2221,153963.0,2560000.0,2.0,52.0,715.0,20.0,1.0,0.2,84.0,0.08,0.0,1.5703125,0.7217015625,0.0,0.0,0.0,salaried,education,0
3000000.0,36.0,0.2281,115832.0,2560000.0,2.0,52.0,715.0,20.0,1.0,0.2,88.0,0.08,0.0,1.171875,0.5429625,1.0,0.0,4020000.0,salaried,personal,0
2180000.0,12.0,0.193,201214.0,2560000.0,2.0,53.0,715.0,20.0,1.0,0.2,93.0,0.08,0.0,0.8515625,0.943190625,2.0,0.0,7020000.0,salaried,business,0
2040000.0,24.0,0.2138,105208.0,2560000.0,2.0,53.0,715.0,20.0,1.0,0.2,93.0,0.08,0.0,0.796875,0.4931625,3.0,0.0,9200000.0,salaried,education,0
4670000.0,24.0,0.1615,228993.0,2380000.0,5.0,39.0,650.0,13.0,2.0,0.32,48.0,0.13,0.0,1.9621848739495797,1.1545865546218488,0.0,0.0,0.0,self_employed,auto,0
3810000.0,36.0,0.1197,126492.0,2380000.0,5.0,39.0,650.0,13.0,2.0,0.32,49.0,0.13,0.0,1.6008403361344539,0.6377747899159664,1.0,0.0,4670000.0,self_employed,auto,0
2390000.0,36.0,0.1529,83190.0,2380000.0,5.0,39.0,650.0,13.0,2.0,0.32,52.0,0.13,0.0,1.004201680672269,0.4194453781512605,2.0,0.0,8480000.0,self_employed,personal,0
110000.0,36.0,0.1512,3820.0,2380000.0,5.0,40.0,650.0,13.0,2.0,0.32,62.0,0.13,0.0,0.046218487394957986,0.01926050420168067,3.0,0.0,10870000.0,self_employed,business,0
400000.0,12.0,0.1608,36307.0,1650000.0,12.0,44.0,550.0,12.0,3.0,0.44,66.0,0.78,0.0,0.24242424242424243,0.2640509090909091,0.0,0.0,0.0,self_employed,home,0
3510000.0,24.0,0.1222,165589.0,1650000.0,12.0,45.0,550.0,12.0,3.0,0.44,78.0,0.78,0.0,2.1272727272727274,1.2042836363636364,1.0,0.0,400000.0,self_employed,education,0
3840000.0,36.0,0.1664,136219.0,926500.0,14.0,45.0,615.0,16.0,3.0,0.37,117.0,0.39,0.0,4.144630329195898,1.7643043712898003,0.0,0.0,0.0,salaried,personal,0
1050000.0,36.0,0.2288,40580.0,1090000.0,15.0,46.0,615.0,16.0,3.0,0.37,127.0,0.39,0.0,0.963302752293578,0.4467522935779817,1.0,0.0,3840000.0,salaried,home,0
320000.0,24.0,0.1325,15251.0,590000.0,10.0,36.0,,,,,,,1.0,0.5423728813559322,0.3101898305084746,0.0,0.0,0.0,salaried,business,0
3190000.0,24.0,0.1519,154961.0,1250000.0,2.0,35.0,,,,,,,1.0,2.552,1.4876255999999999,0.0,0.0,0.0,salaried,personal,0
870000.0,24.0,0.1693,42986.0,1250000.0,2.0,35.0,,,,,,,1.0,0.696,0.41266559999999997,1.0,0.0,3190000.0,salaried,business,0
699939.0,24.0,0.1856,35134.0,1250000.0,2.0,35.0,,,,,,,1.0,0.5599512,0.3372864,2.0,0.0,4060000.0,salaried,home,0
2770000.0,36.0,0.1734,99227.0,1250000.0,2.0,35.0,,,,,,,1.0,2.216,0.9525792,3.0,0.0,4759939.0,salaried,education,0
750000.0,12.0,0.1785,68706.0,1250000.0,2.0,36.0,,,,,,,1.0,0.6,0.6595776,4.0,0.0,7529939.0,salaried,personal,0
4119954.0,12.0,0.1836,378424.0,1250000.0,2.0,36.0,,,,,,,1.0,3.2959632,3.6328704,5.0,0.0,8279939.0,salaried,business,0
410000.0,12.0,0.1879,37743.0,1560000.0,18.0,36.0,440.0,6.0,6.0,0.53,148.0,0.63,0.0,0.26282051282051283,0.2903307692307692,0.0,0.0,0.0,salaried,education,0
4380000.0,24.0,0.1406,210421.0,1385500.0,28.0,32.0,800.0,3.0,2.0,0.08,110.0,0.45,0.0,3.1613136051966797,1.8224843016961387,0.0,0.0,0.0,salaried,business,0
4090000.0,36.0,0.1576,143308.0,1181500.0,1.0,50.0,565.0,17.0,4.0,0.42,111.0,0.13,0.0,3.4617012272534913,1.455519255184088,0.0,0.0,0.0,self_employed,business,0
1290000.0,12.0,0.1507,116476.0,1390000.0,2.0,51.0,565.0,17.0,4.0,0.42,121.0,0.13,0.0,0.9280575539568345,1.005548201438849,1.0,0.0,4090000.0,self_employed,home,0
1720000.0,36.0,0.1125,56514.0,1390000.0,2.0,51.0,565.0,17.0,4.0,0.42,125.0,0.13,0.0,1.2374100719424461,0.4878906474820144,2.0,0.0,5380000.0,self_employed,auto,0
900000.0,12.0,0.1583,81585.0,840000.0,28.0,46.0,440.0,6.0,5.0,0.57,160.0,0.35,0.0,1.0714285714285714,1.1655,0.0,0.0,0.0,salaried,business,0
1630000.0,36.0,0.1643,57653.0,840000.0,28.0,46.0,440.0,6.0,5.0,0.57,163.0,0.35,0.0,1.9404761904761905,0.8236142857142857,1.0,0.0,900000.0,salaried,personal,0
750000.0,36.0,0.1673,26639.0,840000.0,28.0,46.0,440.0,6.0,5.0,0.57,169.0,0.35,0.0,0.8928571428571429,0.38055714285714287,2.0,0.0,2530000.0,salaried,home,0
4660000.0,24.0,0.1295,221435.0,840000.0,28.0,46.0,440.0,6.0,5.0,0.57,170.0,0.35,0.0,5.5476190476190474,3.163357142857143,3.0,0.0,3280000.0,salaried,personal,0
1780000.0,12.0,0.2123,165939.0,2000000.0,0.0,34.0,,,,,,,1.0,0.89,0.995634,0.0,0.0,0.0,salaried,business,0
4810000.0,36.0,0.2167,182876.0,2000000.0,0.0,34.0,,,,,,,1.0,2.405,1.097256,1.0,0.0,1780000.0,salaried,auto,0
1090000.0,24.0,0.2002,55487.0,2000000.0,0.0,34.0,,,,,,,1.0,0.545,0.332922,2.0,0.0,6590000.0,salaried,education,0
3239988.0,36.0,0.1336,109731.0,2000000.0,0.0,34.0,,,,,,,1.0,1.619994,0.658386,3.0,0.0,7680000.0,salaried,personal,0
1690000.0,24.0,0.1226,79760.0,2000000.0,0.0,34.0,,,,,,,1.0,0.845,0.47856000000000004,4.0,0.0,10919988.0,salaried,business,0
1680000.0,24.0,0.1883,84548.0,340000.0,17.0,51.0,340.0,3.0,6.0,0.68,33.0,0.51,0.0,4.9411764705882355,2.9840470588235295,0.0,0.0,0.0,salaried,business,0
1800000.0,36.0,0.1621,63469.0,340000.0,17.0,52.0,340.0,3.0,6.0,0.68,42.0,0.51,0.0,5.294117647058823,2.2400823529411764,1.0,0.0,1680000.0,salaried,personal,0
2610000.0,12.0,0.1363,233890.0,340000.0,17.0,52.0,340.0,3.0,6.0,0.68,43.0,0.51,0.0,7.676470588235294,8.254941176470588,2.0,0.0,3480000.0,salaried,business,0
3300000.0,36.0,0.1563,115416.0,892500.0,16.0,49.0,410.0,8.0,7.0,0.65,134.0,0.79,0.0,3.697478991596639,1.5518117647058824,0.0,0.0,0.0,self_employed,home,0
4840000.0,12.0,0.1716,441799.0,892500.0,16.0,51.0,410.0,8.0,7.0,0.65,150.0,0.79,0.0,5.42296918767507,5.940154621848739,1.0,0.0,3300000.0,self_employed,personal,0
720000.0,24.0,0.2372,37967.0,1370000.0,11.0,33.0,540.0,4.0,3.0,0.46,15.0,0.53,0.0,0.5255474452554745,0.33255766423357663,0.0,0.0,0.0,salaried,business,0
1950000.0,12.0,0.2076,181347.0,926500.0,22.0,27.0,640.0,16.0,2.0,0.31,27.0,0.28999933333333333,0.0,2.1046950890447924,2.348800863464652,0.0,0.0,0.0,salaried,business,0
3760000.0,24.0,0.2056,192398.0,926500.0,22.0,27.0,640.0,16.0,2.0,0.31,31.0,0.28999933333333333,0.0,4.058283864004317,2.491933081489477,1.0,0.0,1950000.0,salaried,business,0
2450000.0,24.0,0.1602,119983.0,1090000.0,23.0,28.0,640.0,16.0,2.0,0.31,37.0,0.28999933333333333,0.0,2.2477064220183487,1.32091376146789,2.0,0.0,5710000.0,salaried,education,0
980000.0,24.0,0.1999,49873.0,1090000.0,23.0,28.0,640.0,16.0,2.0,0.31,38.0,0.28999933333333333,0.0,0.8990825688073395,0.5490605504587156,3.0,0.0,8160000.0,salaried,home,0
4960000.0,24.0,0.1191,233276.0,2000000.0,29.0,29.0,510.0,16.0,5.0,0.5,120.0,0.91,0.0,2.48,1.399656,0.0,0.0,0.0,self_employed,personal,0
580000.0,36.0,0.1224,19331.0,850000.0,25.0,28.0,385.0,6.0,8.0,0.66,191.0,0.56,0.0,0.6823529411764706,0.2729082352941177,0.0,0.0,0.0,self_employed,auto,1
3370000.0,24.0,0.1433,162329.0,850000.0,25.0,28.0,385.0,6.0,8.0,0.66,191.0,0.56,0.0,3.9647058823529413,2.2917035294117647,1.0,1.0,580000.0,self_employed,home,0
580000.0,36.0,0.2207,22171.0,374000.0,29.0,26.0,300.0,14.0,9.0,0.73,141.0,0.56,0.0,1.5508021390374331,0.7113689839572193,0.0,0.0,0.0,salaried,auto,1
4390000.0,24.0,0.1959,222554.0,374000.0,29.0,26.0,300.0,14.0,9.0,0.73,151.0,0.56,0.0,11.737967914438503,7.1407700534759355,1.0,1.0,580000.0,salaried,home,0
620000.0,12.0,0.1964,57327.0,2530000.0,1.0,37.0,315.0,1.0,8.0,0.72,148.0,0.16,0.0,0.2450592885375494,0.2719067193675889,0.0,0.0,0.0,salaried,personal,0
3690000.0,36.0,0.1947,136139.0,2530000.0,1.0,37.0,315.0,1.0,8.0,0.72,148.0,0.16,0.0,1.458498023715415,0.6457185770750988,1.0,0.0,620000.0,salaried,business,1
3020000.0,36.0,0.1344,102397.0,2530000.0,1.0,37.0,315.0,1.0,8.0,0.72,152.0,0.16,0.0,1.1936758893280632,0.4856774703557312,2.0,1.0,4310000.0,salaried,auto,0
4510000.0,36.0,0.1752,161963.0,2530000.0,1.0,37.0,315.0,1.0,8.0,0.72,154.0,0.16,0.0,1.7826086956521738,0.76820395256917,3.0,1.0,7330000.0,salaried,home,0
2970000.0,36.0,0.1506,103043.0,2530000.0,1.0,38.0,315.0,1.0,8.0,0.72,160.0,0.16,0.0,1.173913043478261,0.4887415019762846,4.0,1.0,11840000.0,salaried,auto,0
4320000.0,12.0,0.1109,381990.0,2500000.0,11.0,23.0,500.0,19.0,6.0,0.48,169.0,0.47,0.0,1.728,1.8335519999999998,0.0,0.0,0.0,salaried,education,0
2509920.0,12.0,0.231,236245.0,2500000.0,11.0,23.0,500.0,19.0,6.0,0.48,169.0,0.47,0.0,1.003968,1.1339759999999999,1.0,0.0,4320000.0,salaried,education,0
1420000.0,36.0,0.1181,47036.0,2500000.0,11.0,24.0,500.0,19.0,6.0,0.48,181.0,0.47,0.0,0.568,0.2257728,2.0,0.0,6829920.0,salaried,auto,0
2620000.0,24.0,0.1879,131803.0,1830000.0,23.0,33.0,,,,,,,1.0,1.4316939890710383,0.8642819672131148,0.0,0.0,0.0,self_employed,education,0
1380000.0,24.0,0.1929,69758.0,1830000.0,23.0,34.0,,,,,,,1.0,0.7540983606557377,0.4574295081967213,1.0,0.0,2620000.0,self_employed,home,0
1910000.0,12.0,0.2127,178095.0,1830000.0,23.0,34.0,,,,,,,1.0,1.0437158469945356,1.1678360655737705,2.0,0.0,4000000.0,self_employed,personal,0
2480000.0,36.0,0.2178,94430.0,2450000.0,6.0,32.0,500.0,8.0,5.0,0.51,146.0,0.95,0.0,1.0122448979591836,0.4625142857142857,0.0,0.0,0.0,self_employed,education,0
420000.0,24.0,0.2352,22105.0,2450000.0,6.0,32.0,500.0,8.0,5.0,0.51,150.0,0.95,0.0,0.17142857142857143,0.10826938775510205,1.0,0.0,2480000.0,self_employed,business,0
3040000.0,24.0,0.177,151329.0,2450000.0,6.0,32.0,500.0,8.0,5.0,0.51,150.0,0.95,0.0,1.2408163265306122,0.7412032653061225,2.0,0.0,2900000.0,self_employed,home,0
2870000.0,12.0,0.1335,256812.0,2450000.0,6.0,34.0,500.0,8.0,5.0,0.51,166.0,0.95,0.0,1.1714285714285715,1.257854693877551,3.0,0.0,5940000.0,self_employed,auto,0
2290000.0,36.0,0.1573,80205.0,300000.0,26.0,44.0,700.0,5.0,3.0,0.26,5.0,0.68,0.0,7.633333333333334,3.2082,0.0,0.0,0.0,self_employed,business,0
2710000.0,36.0,0.2068,101655.0,300000.0,26.0,45.0,700.0,5.0,3.0,0.26,15.0,0.68,0.0,9.033333333333333,4.0662,1.0,0.0,2290000.0,self_employed,education,0
1980000.0,24.0,0.1152,92762.0,300000.0,26.0,46.0,700.0,5.0,3.0,0.26,20.0,0.68,0.0,6.6,3.71048,2.0,0.0,5000000.0,self_employed,business,0
21165000000.0,24.0,0.1523,1028534250.0,2176000.0,13.0,37.0,,,,,,,1.0,9726.5625,5672.06387867647,0.0,0.0,0.0,salaried,education,0
4100000.0,12.0,0.2351,386723.0,2176000.0,13.0,38.0,,,,,,,1.0,1.8841911764705883,2.1326636029411765,1.0,0.0,21165000000.0,salaried,personal,0
350000.0,36.0,0.2051,13098.0,2176000.0,13.0,38.0,,,,,,,1.0,0.16084558823529413,0.07223161764705882,2.0,0.0,21169100000.0,salaried,education,0
1780000.0,24.0,0.1118,83111.0,1708500.0,15.0,28.0,590.0,4.0,5.0,0.36,62.0,0.39,0.0,1.0418495756511559,0.583747146619842,0.0,0.0,0.0,salaried,education,0
1950000.0,12.0,0.2188,182396.0,530000.0,0.0,39.0,600.0,10.0,4.0,0.36,157.0,0.67,0.0,3.6792452830188678,4.129720754716981,0.0,0.0,0.0,salaried,personal,0
1800000.0,24.0,0.2294,94218.0,530000.0,0.0,39.0,600.0,10.0,4.0,0.36,167.0,0.67,0.0,3.3962264150943398,2.1332377358490566,1.0,0.0,1950000.0,salaried,auto,0
3450000.0,36.0,0.1884,126184.0,530000.0,0.0,40.0,600.0,10.0,4.0,0.36,168.0,0.67,0.0,6.509433962264151,2.8569962264150943,2.0,0.0,3750000.0,salaried,auto,0
2020000.0,36.0,0.1558,70599.0,530000.0,0.0,40.0,600.0,10.0,4.0,0.36,169.0,0.67,0.0,3.811320754716981,1.598467924528302,3.0,0.0,7200000.0,salaried,auto,0
1120000.0,36.0,0.2257,43104.0,1096500.0,17.0,39.0,515.0,9.0,4.0,0.44,99.0,0.9,0.0,1.0214318285453716,0.4717264021887825,0.0,0.0,0.0,self_employed,business,0
2069937.0,12.0,0.1706,188847.0,840000.0,24.0,48.0,,,,,,,1.0,2.464210714285714,2.6978142857142857,0.0,0.0,0.0,self_employed,business,0
220000.0,24.0,0.2226,11441.0,920000.0,7.0,50.0,390.0,11.0,8.0,0.61,144.0,0.18,0.0,0.2391304347826087,0.1492304347826087,0.0,0.0,0.0,self_employed,personal,0
8798000000.0,12.0,0.2129,820439998.0,920000.0,7.0,50.0,390.0,11.0,8.0,0.61,145.0,0.18,0.0,9563.04347826087,10701.39127826087,1.0,0.0,220000.0,self_employed,auto,0
1160000.0,36.0,0.1658,41115.0,2560000.0,24.0,29.0,425.0,19.0,5.0,0.62,50.0,0.96,0.0,0.453125,0.1927265625,0.0,0.0,0.0,self_employed,home,0
1220000.0,12.0,0.1264,108761.0,2560000.0,24.0,29.0,425.0,19.0,5.0,0.62,52.0,0.96,0.0,0.4765625,0.5098171874999999,1.0,0.0,1160000.0,self_employed,personal,0
4690000.0,12.0,0.2317,441603.0,1760000.0,22.0,47.0,,,,,,,1.0,2.664772727272727,3.0109295454545455,0.0,0.0,0.0,salaried,personal,0
17098000000.0,12.0,0.1552,1547435128.0,1760000.0,22.0,47.0,,,,,,,1.0,9714.772727272728,10550.694054545454,1.0,0.0,4690000.0,salaried,education,1
2680000.0,36.0,0.2026,99954.0,2450000.0,6.0,26.0,,,,,,,1.0,1.0938775510204082,0.489570612244898,0.0,0.0,0.0,self_employed,education,0
4039942.0,24.0,0.1884,203334.0,2450000.0,6.0,27.0,,,,,,,1.0,1.648955918367347,0.9959216326530612,1.0,0.0,2680000.0,self_employed,education,0
3620000.0,24.0,0.1735,179590.0,330000.0,15.0,45.0,585.0,10.0,4.0,0.4,51.0,0.64,0.0,10.969696969696969,6.530545454545455,0.0,0.0,0.0,self_employed,business,0
4610000.0,12.0,0.1643,419208.0,330000.0,15.0,45.0,585.0,10.0,4.0,0.4,51.0,0.64,0.0,13.969696969696969,15.243927272727273,1.0,0.0,3620000.0,self_employed,auto,0
3350000.0,12.0,0.1594,303853.0,330000.0,15.0,45.0,585.0,10.0,4.0,0.4,55.0,0.64,0.0,10.151515151515152,11.0492,2.0,0.0,8230000.0,self_employed,business,0
1290000.0,24.0,0.1817,64508.0,330000.0,15.0,45.0,585.0,10.0,4.0,0.4,58.0,0.64,0.0,3.909090909090909,2.3457454545454546,3.0,0.0,11580000.0,self_employed,business,0
4250000.0,24.0,0.2053,217409.0,1420000.0,25.0,46.0,460.0,16.0,5.0,0.54,205.0,0.08,0.0,2.992957746478873,1.8372591549295776,0.0,0.0,0.0,self_employed,business,0
4529974.0,12.0,0.2094,421673.0,1420000.0,25.0,47.0,460.0,16.0,5.0,0.54,214.0,0.08,0.0,3.1901225352112674,3.5634338028169017,1.0,0.0,4250000.0,self_employed,home,0
11786000000.0,12.0,0.1478,1062561332.0,1420000.0,25.0,48.0,460.0,16.0,5.0,0.54,221.0,0.08,0.0,8300.0,8979.391538028169,2.0,0.0,8779974.0,self_employed,education,0
4490000.0,24.0,0.1115,209582.0,2370000.0,21.0,28.0,,,,,,,1.0,1.8945147679324894,1.0611746835443039,0.0,0.0,0.0,salaried,education,0
2450000.0,24.0,0.1737,121570.0,2370000.0,21.0,28.0,,,,,,,1.0,1.0337552742616034,0.6155443037974684,1.0,0.0,4490000.0,salaried,auto,0
